run_id,model_label,model,disk_size,runtime_size,processor,task_id,task_language,error,client_elapsed_ms,total_ms,load_ms,prompt_eval_ms,eval_ms,prompt_eval_count,eval_count,prompt_tokens_per_sec,eval_tokens_per_sec,quality_score,response_present,language_ok,structure_ok,anchor_hits,anchor_total,json_valid,required_json_keys_present,ollama_rss_before_mb,ollama_rss_after_mb
20260610-190012,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,1.9 GB,2.2 GB,100% GPU,en_summary_actions,English,,6899.14,6898.13,101.37,607.55,6186.14,266,212,437.82,34.27,5,True,True,True,7,7,False,0,2108.2,2114.4
20260610-190012,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,1.9 GB,2.2 GB,100% GPU,zh_summary_actions,Chinese,,8742.76,8742.01,111.79,538.02,8085.74,273,276,507.42,34.13,5,True,True,True,7,7,False,0,2114.4,2131.6
20260610-190012,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,1.9 GB,2.2 GB,100% GPU,hi_summary_actions,Hindi,,11713.25,11712.14,111.91,1635.36,9959.67,762,338,465.95,33.94,4,True,True,True,5,7,False,0,2131.6,2156.7
20260610-190012,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,1.9 GB,2.2 GB,100% GPU,mixed_json_extraction,Mixed,,6417.51,6416.74,94.53,473.24,5841.7,244,200,515.6,34.24,5,True,True,True,5,6,True,7,2156.7,2195.4
20260610-190012,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,1.9 GB,2.2 GB,100% GPU,faithfulness_missing_info,English,,1958.57,1956.21,111.04,331.99,1508.88,180,53,542.19,35.13,5,True,True,True,4,4,False,0,2195.4,2211.2
20260610-190012,Qwen2.5-1.5B-Instruct,qwen2.5:1.5b-instruct,986 MB,1.2 GB,100% GPU,en_summary_actions,English,,2239.34,2238.61,111.05,264.0,1861.56,266,116,1007.59,62.31,4,True,True,True,5,7,False,0,1190.5,1195.1
20260610-190012,Qwen2.5-1.5B-Instruct,qwen2.5:1.5b-instruct,986 MB,1.2 GB,100% GPU,zh_summary_actions,Chinese,,2578.88,2578.12,96.38,261.8,2215.95,273,138,1042.8,62.28,3,True,True,True,3,7,False,0,1195.1,1205.7
20260610-190012,Qwen2.5-1.5B-Instruct,qwen2.5:1.5b-instruct,986 MB,1.2 GB,100% GPU,hi_summary_actions,Hindi,,11482.88,11482.13,92.71,775.19,10610.19,762,650,982.99,61.26,5,True,True,True,6,7,False,0,1205.7,1221.7
20260610-190012,Qwen2.5-1.5B-Instruct,qwen2.5:1.5b-instruct,986 MB,1.2 GB,100% GPU,mixed_json_extraction,Mixed,,3632.73,3631.51,136.47,229.51,3256.62,244,202,1063.12,62.03,5,True,True,True,5,6,True,7,1221.7,1260.4
20260610-190012,Qwen2.5-1.5B-Instruct,qwen2.5:1.5b-instruct,986 MB,1.2 GB,100% GPU,faithfulness_missing_info,English,,1302.03,1301.18,93.29,163.2,1041.69,180,65,1102.97,62.4,5,True,True,True,3,4,False,0,1260.4,1272.7
20260610-190012,Phi-4-mini-instruct,phi4-mini:latest,2.5 GB,3.1 GB,100% GPU,en_summary_actions,English,,8116.6,8115.68,139.17,548.07,7422.44,249,202,454.32,27.21,5,True,True,True,7,7,False,0,2901.2,2924.4
20260610-190012,Phi-4-mini-instruct,phi4-mini:latest,2.5 GB,3.1 GB,100% GPU,zh_summary_actions,Chinese,,13683.97,13682.92,143.98,619.77,12906.45,276,349,445.33,27.04,5,True,True,True,7,7,False,0,2924.4,2993.5
20260610-190012,Phi-4-mini-instruct,phi4-mini:latest,2.5 GB,3.1 GB,100% GPU,hi_summary_actions,Hindi,,25761.71,25760.62,127.16,1200.51,24409.04,483,650,402.33,26.63,5,True,True,True,6,7,False,0,2993.5,3019.9
20260610-190012,Phi-4-mini-instruct,phi4-mini:latest,2.5 GB,3.1 GB,100% GPU,mixed_json_extraction,Mixed,,7741.69,7740.61,145.25,539.57,7032.03,225,192,417.0,27.3,5,True,True,True,5,6,True,7,3019.9,3161.2
20260610-190012,Phi-4-mini-instruct,phi4-mini:latest,2.5 GB,3.1 GB,100% GPU,faithfulness_missing_info,English,,1787.83,1787.12,143.16,385.81,1245.62,166,35,430.26,28.1,5,True,True,True,4,4,False,0,3161.2,3214.0
20260610-190012,Ministral-3-3B-Instruct,ministral-3:3b-instruct-2512-q4_K_M,3.0 GB,2.7 GB,100% GPU,en_summary_actions,English,,6820.65,6819.31,149.3,569.92,6091.47,264,183,463.23,30.04,5,True,True,True,6,7,False,0,3373.4,3374.6
20260610-190012,Ministral-3-3B-Instruct,ministral-3:3b-instruct-2512-q4_K_M,3.0 GB,2.7 GB,100% GPU,zh_summary_actions,Chinese,,12350.7,12349.53,159.5,728.94,11438.12,349,342,478.78,29.9,4,True,True,True,4,7,False,0,3374.6,3439.4
20260610-190012,Ministral-3-3B-Instruct,ministral-3:3b-instruct-2512-q4_K_M,3.0 GB,2.7 GB,100% GPU,hi_summary_actions,Hindi,,13988.35,13987.21,133.61,1140.75,12700.16,500,395,438.31,31.1,5,True,True,True,7,7,False,0,3439.4,3507.0
20260610-190012,Ministral-3-3B-Instruct,ministral-3:3b-instruct-2512-q4_K_M,3.0 GB,2.7 GB,100% GPU,mixed_json_extraction,Mixed,,9486.31,9484.64,188.78,499.54,8779.17,239,263,478.44,29.96,5,True,True,True,6,6,True,7,3507.0,3354.2
20260610-190012,Ministral-3-3B-Instruct,ministral-3:3b-instruct-2512-q4_K_M,3.0 GB,2.7 GB,100% GPU,faithfulness_missing_info,English,,1862.87,1861.51,155.47,356.17,1310.44,171,42,480.11,32.05,5,True,True,True,4,4,False,0,3354.2,3422.0
20260610-190012,Granite-4.0-Micro-H,granite4:micro-h,1.9 GB,2.1 GB,100% GPU,en_summary_actions,English,,12852.67,12851.84,71.08,1030.64,11747.49,265,266,257.12,22.64,5,True,True,True,6,7,False,0,2124.2,2132.0
20260610-190012,Granite-4.0-Micro-H,granite4:micro-h,1.9 GB,2.1 GB,100% GPU,zh_summary_actions,Chinese,,17975.14,17973.79,84.03,1365.31,16495.1,372,372,272.47,22.55,5,True,True,True,7,7,False,0,2132.0,2286.6
20260610-190012,Granite-4.0-Micro-H,granite4:micro-h,1.9 GB,2.1 GB,100% GPU,hi_summary_actions,Hindi,,31821.76,31820.7,65.17,2909.72,28821.3,822,650,282.5,22.55,4,True,True,True,5,7,False,0,2286.6,2518.0
20260610-190012,Granite-4.0-Micro-H,granite4:micro-h,1.9 GB,2.1 GB,100% GPU,mixed_json_extraction,Mixed,,10231.99,10230.88,81.71,926.2,9191.42,245,209,264.52,22.74,5,True,True,True,6,6,True,7,2518.0,2751.7
20260610-190012,Granite-4.0-Micro-H,granite4:micro-h,1.9 GB,2.1 GB,100% GPU,faithfulness_missing_info,English,,4862.85,4861.95,115.89,708.03,4022.97,179,92,252.81,22.87,5,True,True,True,4,4,False,0,2751.7,2829.5
